class,linguistic pattern,predicate
http://dbpedia.org/ontology/Skier,ältere,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,Deutschen,http://dbpedia.org/ontology/deathDate
http://dbpedia.org/ontology/Skier,österreichischen,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,britischer,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,britische,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,vereinzelt,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,deutschen,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,selben,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,weitgehend,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,kroatischer,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,finnische,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,russischer,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,internationale,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,verheiratete,http://dbpedia.org/ontology/deathDate
http://dbpedia.org/ontology/Skier,erfolgreichste,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,kroatischer,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,finnische,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,internationale,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,russischer,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,beste,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,österreichischen,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,erfolgreiche,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,weitgehend,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,verheiratete,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,1950er-Jahren,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,jüngeren,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,Französische,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,1960er-Jahren,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,Deutsche,http://dbpedia.org/ontology/deathDate
http://dbpedia.org/ontology/Skier,norwegische,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,weitgehend,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,1960er-Jahren,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,Französische,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,1950er-Jahren,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,jüngeren,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,Deutscher,http://dbpedia.org/ontology/deathDate
http://dbpedia.org/ontology/Skier,finnische,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,bestes,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,italienischen,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,tschechischer,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,spanische,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,älteren,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,tschechische,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,gleichen,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,einzigen,http://dbpedia.org/ontology/birthPlace
http://dbpedia.org/ontology/Skier,tschechische,http://dbpedia.org/ontology/height
http://dbpedia.org/ontology/Skier,tschechische,http://dbpedia.org/ontology/country
http://dbpedia.org/ontology/Skier,älteren,http://dbpedia.org/ontology/country
