LemonEntry,partOfSpeech,writtenFormInfinitive,writtenForm3rdPresent,writtenFormPast,writtenFormPerfect,SyntacticFrame,subject,directObject,sense,reference,domain,range,passivePreposition
entdecken,verb,entdecken,entdeckt,entdeckte,entdeckt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
weisen,verb,weisen,weist,wies,gewiesen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
erneuern,verb,erneuern,erneuert,erneuerte,erneuert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
lösen,verb,lösen,löst,löste,gelöst,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
bestimmen,verb,bestimmen,bestimmt,bestimmte,bestimmt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
begründen,verb,begründen,begründet,begründete,begründet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
betragen,verb,betragen,beträgt,betrug,betragen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
verwechseln,verb,verwechseln,verwechselt,verwechselte,verwechselte,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
auftreten,verb,auftreten,tritt auf,trat auf,aufgetreten,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
geben,verb,geben,gibt,gab,gegeben,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
tragen,verb,tragen,trägt,trug,getragen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
anlegen,verb,anlegen,legt an,legte an,angelegt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
taufen,verb,taufen,tauft,taufte,getauft,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
herstellen,verb,herstellen,stellt her,stellte her,hergestellt,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
verheiraten,verb,verheiraten,verheiratet,verheiratete,verheiratete,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
verarbeiten,verb,verarbeiten,verarbeitet,verarbeitete,verarbeitet,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
dokumentieren,verb,dokumentieren,dokumentiert,dokumentierte,dokumentiert,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
weihen,verb,weihen,weiht,weihte,geweiht,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
verzeichnen,verb,verzeichnen,verzeichnet,verzeichnete,verzeichnete,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
verlaufen,verb,verlaufen,verläuft,verlief,verlaufen,TransitiveFrame,range,domain,1,http://dbpedia.org/ontology/author,http://dbpedia.org/ontology/Book,http://dbpedia.org/ontology/Person,von
